        NoF     MOTA        MOTP        IDP         IDR         IDF1         MT      PT          ML     Prcn         Rcll       IDs
40905   1710    68.9        0.389       83.9        83.8        83.8         43       5           0      94.8        94.6       4067      
39371   1390    56.1        0.405       71.6        94.7        81.6         65       0           0      75.0        99.1       639       
40743   1629    57.6        0.383       71.7        98.0        82.8         72       0           0      73.1        100.0      734      
40891   1545    58.4        0.390       96.3        63.8        76.7         33      26           9      99.0        65.6       1758      
40701   1130    53.1        0.420       70.2        96.2        81.2         62       0           0      72.9        99.9       1423      
40852   1150    76.2        0.327       87.1        90.0        88.5         67       0           0      92.5        95.5       2114      
40773   985     73.7        0.386       97.1        74.6        84.3         13      13           3      99.6        76.5       188        
40892   1790    50.1        0.330       98.5        51.3        67.5         15      84          36      99.9        52.1       521       
40712   2400    58.5        0.416       72.5        96.4        82.7         69       0           0      75.0        99.8       1882      
39271   1566    62.6        0.239       73.1        98.6        83.9         47       0           0      74.1        100.0      210      
39311   1505    50.3        0.301       87.8        60.8        71.9         27      24           0      98.1        67.9       3563      
40775   975     73.8        0.507       88.1        83.3        85.6         43      11           1      95.3        90.1       1249       
39401   1385    26.8        0.349       58.2        99.7        73.5         126      0           0      58.4        100.0      277     
39361   2030    -125.8      0.403       30.9        100.0       47.2         70       0           0      30.9        100.0      200   
39031   1423    53.0        0.302       68.4        96.1        79.9         46       0           0      70.5        99.0       311       
40853   1590    72.4        0.340       80.3        95.4        87.2         67       0           0      83.9        99.7       2372      
40904   1270    11.3        0.525       53.9        85.5        66.2         26       6           0      60.4        95.8       2704      
39211   1532    -65.7       0.380       37.8        99.8        54.8         21       0           0      37.9        100.0      62     
40771   1720    82.6        0.440       88.8        95.2        91.9         68       4           0      90.7        97.3       485       
40864   1515    39.9        0.427       81.5        49.3        61.5         32      45           3      100.0       60.6       9139     
40761   1986    18.6        0.294       89.2        22.9        36.4         11      40          21      100.0       25.6       1424     
40902   1005    49.5        0.556       68.0        85.3        75.7         85       0           0      78.1        97.9       1904      
40793   1959    77.1        0.367       94.8        80.5        87.1         62      25           0      98.6        83.7       1012      
39511   380     19.5        0.414       56.4        88.8        69.0         13       0           0      63.4        99.7       535        
40772   1200    88.4        0.389       94.8        94.3        94.5         57       3           0      97.4        97.0       841       
40855   1090    58.0        0.353       81.7        68.3        74.4         41      14           0      97.4        81.5       6404      
40851   1140    63.2        0.297       78.3        84.8        81.4         40       2           0      84.5        91.6       1650      
39501   540     1.3         0.538       52.9        94.2        67.7         28       0           0      56.1        100.0      1015       
39051   1051    70.3        0.217       77.1        99.8        87.0         30       0           0      77.2        99.9       4       
40763   1699    34.1        0.274       95.1        36.2        52.4         20      25          12      100.0       38.0       362      
40714   1180    81.9        0.250       96.6        84.6        90.2         48      14           0      99.4        87.0       1560      
40792   1810    73.0        0.370       92.0        78.0        84.4         14      16           5      95.6        81.0       329       
40901   1335    73.3        0.422       89.7        85.3        87.5         37      12           1      95.8        91.1       1550      
40762   1821    27.9        0.269       90.3        33.0        48.3         25      32           7      100.0       36.5       1263     
40903   1060    59.9        0.478       91.5        69.1        78.7         50      23           1      99.1        74.8       3065      
40742   1655    70.6        0.323       80.6        88.3        84.2         27       6           0      89.5        98.1       4041      
40711   1030    -22.2       0.357       44.4        92.8        60.0         53       0           0      47.8        100.0      885     
40854   1195    73.1        0.361       93.8        78.0        85.2         69      17           1      99.9        83.0       1855      
40863   1670    60.5        0.414       92.4        68.0        78.4         21       7           2      98.8        72.8       3702      
40774   950     87.6        0.361       99.2        89.8        94.3          9       2           4      99.2        89.8       81
