            NoF      MOTA   MOTP        IDP         IDR         IDF1        MT       PT   ML     Prcn   Rcll    IDs
MVI_40905   1710     64.1   0.336       87.2        73.8        80.0        30       18    0     98.5   83.3    3554       
MVI_39371   1390     46.5   0.378       66.9        96.4        79.0        65        0    0     69.1   99.7    560        
MVI_40743   1629     68.6   0.413       79.6        96.6        87.3        72        0    0     82.0   99.4    1161       
MVI_40891   1545     50.3   0.336       98.1        54.3        69.9        24       25   19     99.9   55.3    1335       
MVI_40701   1130     62.0   0.409       75.2        93.0        83.2        62        0    0     80.8   99.8    2066       
MVI_40852   1150     74.5   0.330       84.9        89.2        87.0        67        0    0     91.2   95.8    2190       
MVI_40773   985      70.9   0.376       99.1        72.3        83.6        13       10    6     100.0  72.9    152        
MVI_40892   1790     47.8   0.329       98.6        48.9        65.4        18       61   56     99.9   49.5    451        
MVI_40712   2400     67.5   0.438       77.8        96.0        85.9        69        0    0     80.8   99.8    1979       
MVI_39271   1566     58.8   0.293       72.2        94.1        81.7        47        0    0     75.7   98.7    706        
MVI_39311   1505     42.9   0.304       92.9        50.5        65.4        19       27    5     100.0  54.3    2489      
MVI_40775   975      70.9   0.485       93.4        76.9        84.4        34       20    1     99.2   81.7    1062        
MVI_39401   1385     33.9   0.360       61.0        99.5        75.6        126       0    0     61.3   100.0   393      
MVI_39361   2030   -105.5   0.382       32.8        99.4        49.3        70        0    0     33.0   100.0   231     
MVI_39031   1423     57.3   0.293       71.2        95.3        81.5        44        2    0     72.5   97.1    196        
MVI_40853   1590     72.4   0.440       79.4        95.7        86.8        67        0    0     82.8   99.8    1937       
MVI_40904   1270     36.2   0.610       63.7        75.5        69.1        20       10    2     75.9   89.9    3112       
MVI_39211   1532     9.3    0.373       52.6        99.6        68.8        21        0    0     52.7   99.7    33         
MVI_40771   1720     82.0   0.441       88.7        95.4        91.9        70        2    0     90.4   97.2    503        
MVI_40864   1515     33.9   0.425       91.7        42.1        57.7        23       42   15     100.0  45.9    5271      
MVI_40761   1697     11.6   0.284       97.8        13.5        23.7         9       18   45     100.0  13.8    374       
MVI_40902   1005     54.2   0.676       73.5        74.9        74.2        76        9    0     89.3   90.9    2349       
MVI_40793   1959     72.2   0.350       97.1        77.4        86.1        55       28    4     99.8   79.5    1308       
MVI_39511   380      28.8   0.452       59.2        87.1        70.5        13        0    0     67.9   100.0   566        
MVI_40772   1200     86.6   0.402       97.9        91.3        94.5        48        8    4     99.2   92.6    725        
MVI_40855   1090     57.0   0.386       84.0        65.2        73.4        38       17    0     100.0  77.6    6168      
MVI_40851   1140     50.3   0.381       71.9        82.8        77.0        37        5    0     78.8   90.8    2286       
MVI_39501   540      15.1   0.553       56.5        92.5        70.2        28        0    0     61.1   100.0   1056       
MVI_39051   1051     72.5   0.219       78.6        99.4        87.8        30        0    0     78.9   99.9    17        
MVI_40763   1504     23.8   0.268       97.8        25.6        40.6        10       27   20     100.0  26.2    197       
MVI_40714   1180     82.8   0.255       97.9        85.7        91.4        47       15    0     99.5   87.1    1315       
MVI_40792   1810     72.7   0.313       98.0        74.2        84.4         8       18    9     99.6   75.4    183        
MVI_40901   1335     61.6   0.382       93.9        68.3        79.1        29       19    2     98.4   71.6    988        
MVI_40762   1751     22.8   0.264       96.9        25.2        39.9        19       32   13     100.0  26.0    450       
MVI_40903   1060     58.9   0.418       96.9        64.9        77.7        40       27    7     99.7   66.8    1658       
MVI_40742   1655     77.6   0.324       85.0        91.3        88.1        26        6    1     91.4   98.2    2874       
MVI_40711   1030   -13.6    0.280       46.9        98.4        63.5        53        0    0     47.6   100.0   246      
MVI_40854   1195     78.8   0.318       85.0        94.6        89.6        82        3    2     88.7   98.7    1416       
MVI_40863   1670     62.0   0.414       95.9        64.9        77.4        18       10    2     99.9   67.6    1826       
MVI_40774   950      87.1   0.360       99.1        88.0        93.2         8        5    2     99.2   88.0    10
